rider,dob,nationality,pob,current_team,weight,height,one_day_races,gc,tt,sprint,climber
Niklas Eg,1995-01-06,Denmark,Kibæk,Trek - Segafredo,NA,NA,35,342,44,33,193
Xianjing Lyu,1998-02-02,China,NA,Hengxiang Cycling Team,NA,NA,55,256,26,64,0
Tosh Van der Sande,1990-11-28,Belgium, Wijnegem,Lotto Soudal,64,1.78,400,556,1,1464,457
Carlos Quintero,1986-03-05,Colombia,Villamaría,Terengganu Inc. TSG Cycling Team,63,1.78,213,297,57,224,220
Fabio Felline,1990-03-29,Italy,Turin,Astana Pro Team,68,1.75,1641,1162,1101,1375,1165
Mikkel Bjerg,1998-11-03,Denmark,Copenhagen,UAE-Team Emirates,78,1.91,20,79,605,86,4
Patrick Bevin,1991-02-15,New,Taupo,CCC Team,75,1.8,68,549,1220,910,395
Yevgeniy Fedorov,2000-02-16,Kazakhstan,NA,Vino - Astana Motors,NA,NA,98,114,56,130,1
Marco Benfatto,1988-01-06,Italy,Camposampiero,Bardiani-CSF-Faizanè,71,1.81,141,119,12,2594,14
Ben Swift,1987-11-05,Great,Rotherham,INEOS Grenadiers,69,1.79,1576,743,84,3408,532
Nikias Arndt,1991-11-18,Germany,Buchholz in der Nordheide,Team Sunweb,77.5,1.88,643,494,655,1511,342
Óscar Rodríguez,1995-05-06,Spain,Burlada,Astana Pro Team,63,1.79,51,349,128,26,334
Dylan Kennett,1994-12-08,New,Christchurch,St George Continental Cycling Team,75,1.78,7,124,146,235,0
Amund Grøndahl Jansen,1994-02-11,Norway,Nes,Team Jumbo-Visma,83,1.87,728,427,44,594,118
Hideto Nakane,1990-05-02,Japan,Nagoya,NIPPO DELKO One Provence,55,1.69,120,229,86,290,127
Mihkel Räim,1993-07-03,Estonia,Kuressaare,Israel Start-Up Nation,69,1.76,412,333,154,1460,60
Matthias Brändle,1989-12-07,Austria,Hohenems,Israel Start-Up Nation,77,1.89,427,877,2655,666,163
Thomas Lebas,1985-12-14,France,Pau,Kinan Cycling Team,65,1.82,89,885,58,594,434
Krists Neilands,1994-08-18,Latvia,Kuldīga,Israel Start-Up Nation,69,1.89,353,461,194,366,248
Luis León Sánchez,1983-11-24,Spain,Mula,Astana Pro Team,73,1.86,1625,5317,2642,2252,2968
Niklas Larsen,1997-03-22,Denmark,Slagelse,Uno-X Pro Cycling Team,75,1.8,78,172,99,252,5
Eddie Dunbar,1996-09-01,Ireland,Banteer,INEOS Grenadiers,57,1.7,239,566,129,212,225
Jesse Ewart,1994-07-31,Ireland,Newcastle,Team Sapura Cycling,NA,NA,59,235,0,256,69
David Gaudu,1996-10-10,France,Landivisiau,Groupama - FDJ,53,1.73,606,859,19,94,930
Lorenzo Rota,1995-05-23,Italy,Bergamo,Vini Zabù - KTM,59,1.72,314,179,12,210,170
Savva Novikov,1999-07-27,Russia,NA,CCC Development Team,63,1.77,18,180,1,87,48
Alberto Dainese,1998-03-25,Italy,Abano Terme,Team Sunweb,70,1.76,223,23,0,625,4
Natnael Tesfatsion,1999-05-23,Eritrea,NA,NTT Continental Cycling Team,58,NA,10,176,4,294,3
Ruben Guerreiro,1994-07-06,Portugal,Funchal,EF Pro Cycling,65,1.79,329,657,27,358,529
